title,original,type,kids,age_rating,popularity,year,seasons,episodes,genres,audio,subtitles,cover,url,description
30 Coins,30 Coins,series,,16,0.0,2021,2,10,paranormal; european,Czech; English; English - Audio Description; Spanish (Spain) - Original; French; Hungarian; Polish,Romanian (Moldova); Croatian; Czech; Serbian (Latin); English; Macedonian; Slovenian; Bulgarian; Polish; French; English - SDH; Spanish (Spain); Hungarian; Dutch,https://images.cdn.prd.api.discomax.com/GQQZZ/PO_ahhDLvQakMSChA.jpeg,https://play.hbomax.com/show/104eacfa-719d-489f-8b41-1882ba4d9be3,From Álex de la Iglesia comes this bone-chilling horror series starring Eduard Fernández as a priest who is exiled to a small Spanish town.
30 Days of Night,30 Days of Night,movie,,16,4.0,2007,11,14,horror,English - Original; Hungarian; Czech; Polish,Macedonian; Czech; Croatian; Serbian (Latin); English; Slovenian; Romanian (Moldova); Bulgarian; Hungarian; Polish,https://images.cdn.prd.api.discomax.com/o_h4C/0TOyvlGD-O3WNKmwA.jpeg,https://play.hbomax.com/movie/070e3f3d-651f-4e8b-87d0-e79e7bba82ac,Josh Hartnett stars in this terrifying thriller in which an Alaskan town is taken over by a bloodthirsty group of vampires.
33 Photos from the Ghetto,33 Photos from the Ghetto,movie,,12,0.0,2026,1,7,documentary,Polish - Original; English,English - CC; Macedonian; Czech; Hungarian; Croatian; Bulgarian; Norwegian (Bokmål); Portuguese; Swedish; Spanish (Spain); Danish; German; Finnish; French; Dutch; Greek; Russian; Hebrew; Turkish; Estonian; Lithuanian; Latvian; Ukrainian; Italian; Serbian (Latin); Slovenian; Polish - SDH; Romanian (Moldova); English; Portuguese (Brazil); Spanish (Latin America),https://images.cdn.prd.api.discomax.com/RhPmc/xUVEa6OvKbyMoAspA.jpeg,https://play.hbomax.com/movie/020b4de1-890b-4f1e-aea1-8c974969dbd5,This documentary uncovers the unique story behind the only images from WWII's Warsaw Ghetto Uprising that were not taken by German forces.
38 at the Garden,38 at the Garden,movie,yes,12,0.3,2022,10,10,documentary; sports,English - Original; Spanish (Spain); Polish,Czech; Slovenian; Swedish; English; Danish; Hungarian; Polish; Norwegian (Bokmål); Macedonian; Serbian (Latin); Bulgarian; Portuguese; Croatian; Spanish (Spain); Romanian (Moldova); Dutch; Finnish; Latvian; Lithuanian; Estonian,https://images.cdn.prd.api.discomax.com/eQHA3/TPk7aQjdYwWOWWrwA.jpeg,https://play.hbomax.com/movie/57ad4b71-5e0f-4bc2-9526-70e19c07d162,"Jeremy Lin's extraordinary rise to NBA stardom in 2012 and the lasting impact of ""Linsanity"" is explored in this timely documentary."
4 Blocks,4 Blocks,series,,16,3.5,2017,3,6,crime; drama; european,Czech; Hungarian; German - Original; Spanish (Spain); Polish; Russian; French; Ukrainian; Turkish; English,Hungarian; Croatian; Bulgarian; Italian; Macedonian; Polish; Slovenian; Czech; Portuguese; Estonian; Icelandic; German; Spanish (Spain); Romanian (Moldova); Serbian (Latin); English; Lithuanian; Latvian; Dutch; Greek; Hebrew; Finnish; Norwegian (Bokmål); Danish; Swedish; French; Turkish,https://images.cdn.prd.api.discomax.com/JqbpX/LiErk-OAo9ZuvcJ-A.jpeg,https://play.hbomax.com/show/3aa3e7b9-a220-4ea1-b0ec-b401aa3c9202,"Toni Hamady is desperate to leave his life of crime behind, but when there is a police raid, he is forced to remain at the helm."
4 Little Girls,4 Little Girls,movie,,16,0.5,1997,2,3,documentary,English - Original; Polish,Bulgarian; Macedonian; Serbian (Latin); Croatian; Romanian (Moldova); Hungarian; Polish; Dutch; Czech; Slovenian; English,https://images.cdn.prd.api.discomax.com/oFxJo/jypw02Drw6NCYJMfQ.jpeg,https://play.hbomax.com/movie/4531136a-91fb-4605-9c42-f29ffcc68c0f,Spike Lee's documentary about the 1963 Birmingham church bombing that killed four young girls.
5 American Handguns - 5 American Kids,5 American Handguns - 5 American Kids,movie,,9,0.3,1995,1,5,documentary; crime,Polish; Spanish (Spain); English - Original,English; Slovenian; Danish; Finnish; Serbian (Latin); Swedish; Macedonian; Bulgarian; Czech; Portuguese; Dutch; Hungarian; Norwegian (Bokmål); Croatian; Romanian (Moldova); Polish,https://images.cdn.prd.api.discomax.com/n__Zj/2iwEyrTK-vpMOQcOA.jpeg,https://play.hbomax.com/movie/6b7b2727-f1dc-4cb0-86ef-5b3e9502a41f,Disturbing look at the stories of five handguns that killed five children -- and how their deaths might have been prevented.
50 Children: The Rescue Mission of Mr. & Mrs. Kraus,50 Children: The Rescue Mission of Mr. & Mrs. Kraus,movie,,12,0.0,2013,1,3,documentary,English - Original; Polish,Slovenian; Hungarian; Serbian (Latin); Polish; Czech; Macedonian; Bulgarian; English; Croatian; Romanian (Moldova),https://images.cdn.prd.api.discomax.com/iZ7yh/wUuLYIv7eg-tZb97Q.jpeg,https://play.hbomax.com/movie/2f3b3ba6-cdb6-4d0a-86f2-9694b0f2b147,The courageous journey of Gilbert and Eleanor Kraus to save 50 Jewish children from the Nazis is chronicled in this inspiring film.
50 First Dates,50 First Dates,movie,yes,6,7.8,2004,0,5,romance; comedy,French; Hungarian; Czech; English - Original; Polish,Hungarian; Slovenian; Czech; French; Dutch; Bulgarian; Croatian; Romanian (Moldova); English; Macedonian; Polish; Serbian (Latin),https://images.cdn.prd.api.discomax.com/xAttG/L_kDFeG-zSyPsuj8g.jpeg,https://play.hbomax.com/movie/77854307-d2cb-446c-8831-5c9af87813d9,Adam Sandler and Drew Barrymore star in this rom-com about a playboy who falls in love with a woman who suffers from severe short-term memory loss.
61*,61*,movie,,12,1.0,2001,4,6,drama; sports,English - Original; Hungarian; Polish; Czech,Hungarian; English; Bulgarian; Romanian (Moldova); Czech; Serbian (Latin); Polish; Dutch; Macedonian; Slovenian; Croatian,https://images.cdn.prd.api.discomax.com/AtsBL/kdA9smeJGYPZmJqZQ.jpeg,https://play.hbomax.com/movie/dc2250d1-8d9b-4945-a694-348893344390,Mickey Mantle and Roger Maris chase Babe Ruth's home run record during the Yankees magical 1961 season in this acclaimed baseball drama.
7 Little Johnstons,7 Little Johnstons,series,,AL,4.9,2013,15,7,reality,Bulgarian; Hungarian; Polish; Czech; Russian; English - Original; Spanish (Spain); French,Serbian (Latin); Romanian (Moldova); Norwegian (Bokmål); Greek; Portuguese; Hebrew; Danish; Slovenian; Macedonian; Croatian; English - SDH; Swedish; Latvian; Estonian; Dutch,https://images.cdn.prd.api.discomax.com/21CkE/igM02ptrtYwMC78Rw.jpeg,https://play.hbomax.com/show/83dc8ded-d67b-4edd-830c-23da3ef0bd2e,"The Johnstons are the world's largest family of little people, and they are making a very big impression."
8,8,movie,,12,29.2,2025,0,1,drama; european,Spanish (Spain) - Original; Hungarian; Polish; Czech,Czech; English; Romanian (Moldova); Serbian (Latin); Slovenian; Macedonian; Croatian; Bulgarian; Hungarian; Polish,https://images.cdn.prd.api.discomax.com/3Nrax/WxzOrhAy1GONMuoxA.jpeg,https://play.hbomax.com/movie/d8cc35f2-1457-4a02-bd60-2f934be09bc1,"Over 90 years, eight encounters mark Octavio and Adela's tumultuous relationship, mirroring pivotal moments in Spain's history."
90 Day Diaries,90 Day Diaries,series,,9,1.3,2021,5,8,reality,English - Original; Czech; Russian; Bulgarian; Hungarian,Serbian (Latin); Croatian; Romanian (Moldova); Slovenian; Estonian; English - SDH; Macedonian; Latvian; Turkish; Norwegian (Bokmål); Swedish; Finnish; Danish,https://images.cdn.prd.api.discomax.com/wAYp5/Zw_2f9TDLeYzvVnRg.jpeg,https://play.hbomax.com/show/a852baef-6f66-465e-a86b-bacd3c7ec9f5,"Take an intimate look into the lives of our couples, told from their perspective, without producers or crew."
90 Day Fiance,90 Day Fiance,series,,12,6.3,2014,10,6,reality,English - Original,Slovenian; Serbian (Latin); Croatian; Macedonian,https://images.cdn.prd.api.discomax.com/9wp4b/dnzR-t7tkXvWBtiFA.jpeg,https://play.hbomax.com/show/f00f5486-4bf3-461f-8272-a5598cc7865d,Overseas fiances travel to the US to live with their partners for the first time. They have 90 days to either get married or call it quits.
90 Day Fiance Pillow Talk: Before the 90 Days,90 Day Fiance Pillow Talk: Before the 90 Days,series,,AL,0.0,2019,1,17,reality,English - Original,Macedonian; Serbian (Latin); English - SDH; Slovenian; Croatian,https://images.cdn.prd.api.discomax.com/7qsPq/5ATWyc5cvzwRzw4ug.jpeg,https://play.hbomax.com/show/604a7d0a-7a99-4c8b-bda9-8db5298ff68c,90 Day favorites invite you into their homes to watch Before the 90 Days.
90 Day Fiance Pillow Talk: Happily Ever After?,90 Day Fiance Pillow Talk: Happily Ever After?,series,,6,0.0,2019,1,17,reality,Bulgarian; Czech; Hungarian; English - Original; Russian,Danish; Norwegian (Bokmål); Slovenian; Swedish; English - SDH; Romanian (Moldova); Serbian (Latin); Macedonian; Estonian; Croatian,https://images.cdn.prd.api.discomax.com/QRBTN/ZeGuaU6Hu5SJkA0xA.jpeg,https://play.hbomax.com/show/d98965e8-6beb-4688-82e6-6704443fc879,90 Day favorites invite you into their homes to watch Happily Ever After.
90 Day Fiance Pillow Talk: Love in Paradise,90 Day Fiance Pillow Talk: Love in Paradise,series,,AL,0.0,2021,1,10,reality,English - Original,Slovenian; Macedonian; Serbian (Latin); Croatian,https://images.cdn.prd.api.discomax.com/DvKz7/0jGppfjsi7_IA69wg.jpeg,https://play.hbomax.com/show/8fd5399f-15eb-4261-8826-95722f01566a,90 Day favorites invite you into their homes to watch Love in Paradise.
90 Day Fiance Pillow Talk: The Other Way,90 Day Fiance Pillow Talk: The Other Way,series,,AL,0.0,2020,1,22,reality,English - Original,English; Serbian (Latin); Croatian; Slovenian; Macedonian,https://images.cdn.prd.api.discomax.com/zSj62/HuZR4Gmo02u0CXZFg.jpeg,https://play.hbomax.com/show/f9fe18ed-93a0-45ac-8c00-9ca27dc12f0f,90 Day favorites invite you into their homes to watch The Other Way.
90 Day Fiance UK,90 Day Fiancé UK,series,,12,1.1,2022,1,12,reality; european,English,Croatian; Serbian (Latin); Macedonian; English - SDH; Slovenian,https://images.cdn.prd.api.discomax.com/ktTlW/JeEE-8U_chgyPOBMA.jpeg,https://play.hbomax.com/show/e78d2b17-e4d5-4dc2-9874-fe45943ed609,Loved-up Brits and their long-distance partners have a limited time to see if it's the real deal or if they should call the whole thing off.
90 Day Fiance: Before the 90 Days,90 Day Fiance: Before the 90 Days,series,,12,3.1,2017,8,14,reality,English - Original,Serbian (Latin); Croatian; Slovenian; Macedonian; English,https://images.cdn.prd.api.discomax.com/Utuce/VYavio86HDDFc7eKw.jpeg,https://play.hbomax.com/show/24b36f76-e350-4150-970c-ceb0c0fb7383,Americans travel abroad to meet their online soulmates for the first time.
90 Day Fiance: Happily Ever After?,90 Day Fiance: Happily Ever After?,series,,12,2.9,2016,9,13,reality,Hungarian; Czech; Russian; Bulgarian; English - Original,Macedonian; Portuguese; Hebrew; Romanian (Moldova); Slovenian; Serbian (Latin); Croatian; Estonian; Greek; Latvian; English,https://images.cdn.prd.api.discomax.com/cSEkA/2COU-U5TO9Rr6-_gg.jpeg,https://play.hbomax.com/show/1e56ec6e-5092-4ac7-9f95-0d1cb77632f7,Follow the ups and downs of marriage after the 90 days.
90 Day Fiance: Love in Paradise,90 Day Fiance: Love in Paradise,series,,AL,0.9,2021,4,8,reality,English - Original,Serbian (Latin); Macedonian; Croatian; Slovenian; English,https://images.cdn.prd.api.discomax.com/pawIc/OqdTdG6b-z9M2nTTg.jpeg,https://play.hbomax.com/show/8405c066-4057-4f53-93c2-68801231a63a,Experience the magic of paradise as couples who meet abroad attempt to transform a flirty fling into a permanent passion.
90 Day Fiance: Pillow Talk,90 Day Fiance: Pillow Talk,series,,6,6.7,2019,2,19,reality,English - Original; Czech; Bulgarian; Hungarian,Macedonian; Croatian; Serbian (Latin); Slovenian; Romanian (Moldova); Estonian; Dutch,https://images.cdn.prd.api.discomax.com/ZT1KC/XDOY7ZerAOliRu1tQ.jpeg,https://play.hbomax.com/show/da3da180-7e90-4dd7-b6c3-22e120d94c0d,"Your 90 Day favorites are watching the latest episode, and no one is holding back!"
90 Day Fiance: Self-Quarantined,90 Day Fiance: Self-Quarantined,series,,AL,0.3,2020,1,7,reality,English - Original,Macedonian; Serbian (Latin); Croatian; English - SDH; Slovenian,https://images.cdn.prd.api.discomax.com/g7SzA/KlUXnvFefyTpPAYog.jpeg,https://play.hbomax.com/show/6f8021c9-1813-4a5c-a366-c6436012a2bf,90 Day couples share how their lives are being impacted by COVID-19 and what they're up to now.
90 Day Fiance: The Other Way,90 Day Fiance: The Other Way,series,,AL,1.7,2019,7,22,reality,English - Original,Croatian; Serbian (Latin); English - SDH; Slovenian; Macedonian,https://images.cdn.prd.api.discomax.com/hueds/eXr3w9qxGAL6vmuqA.jpeg,https://play.hbomax.com/show/2d15b412-1395-4c52-a897-ff290ea38f8c,Americans risk it all to move overseas for love.
90 Day: Hunt for Love,90 Day: Hunt for Love,series,,12,0.3,2025,1,15,reality,English - Original; Polish; Lithuanian; Russian,Dutch; Hungarian; Romanian (Moldova); Danish; Swedish; Norwegian (Bokmål); Polish; Latvian; Czech; Estonian; Bulgarian; Slovak; Macedonian; Serbian (Latin); Croatian; Slovenian; Greek; Portuguese; English,https://images.cdn.prd.api.discomax.com/UO0v0/cSHjo7hdteduLsVsg.jpeg,https://play.hbomax.com/show/bf7a217e-3bd6-4d4d-bfef-f03ae9b9acf5,"Eight veteran 90 day singles are ready to give love another shot in the beautiful paradise of Tulum, Mexico."
90 Day: The Last Resort,90 Day: The Last Resort,series,,12,2.1,2023,2,12,reality,English - Original; Bulgarian; Hungarian; Russian; Latvian; Czech,Macedonian; Croatian; Serbian (Latin); Slovenian; English; Greek; Hungarian; Portuguese; Estonian; Dutch; Hebrew; Romanian (Moldova); Bulgarian; Slovak; Czech,https://images.cdn.prd.api.discomax.com/j33o3/eZHt2rh2pwUbl_VYA.jpeg,https://play.hbomax.com/show/6e04063b-47b7-4c44-92cf-d4354406c565,"At a group couples retreat, 90 Day duos at their relationship breaking points will ultimately decide if they will stay together or move on alone."
